# 이 표는 우리 순위가 아니다. 우리 순위는 지표 가중합이 아니라 실제 질문·답변의
# 채점이다(JUDGING.md). 지표로 줄 세우는 방식은 우리가 실측으로 폐기했다.
# 여기 있는 것은 **재계산에 필요한 원자료를 편 것**이다.
name,category,ours,repo_url,status,reachable,needs_key,tool_count,warm_ms,cold_ms,described_pct,desc_median,input_schema_pct,output_schema_pct,annotated_pct,readonly_pct,self_hosting,license,repo_public,paid_disclosed,tools_total,tools_free,tools_paid,rank_in_category,factual_errors
app.wishpool/korea-invoice-mcp,세금·재정,0,https://github.com/junter1989k-ai/korea-invoice-mcp,down,0,0,,,81,,,,,,,unknown,,,0,,,,,
app.wonbuddhism/scripture,교육·문화,0,,live,1,0,7,53,296,100,75,86,0,100,100,unknown,,,0,,,,,
arapodcho/mcp_server_neis_api,교육·문화,0,https://github.com/arapodcho/mcp_server_neis_api,,,,,,,,,,,,,source_only,MIT,1,0,,,,,
bb4rjfl/weathersafetyos-mcp,날씨·환경,0,https://github.com/bb4rjfl/weathersafetyos-mcp,,,,,,,,,,,,,source_only,,1,0,,,,,
bhyunco/korea-holiday-mcp,공공데이터·행정,0,https://github.com/bhyunco/korea-holiday-mcp,live,1,0,6,227,240,100,79,100,0,0,0,source_only,MIT,1,0,,,,,
billy-baek/ansimtalk,의료·복지,0,https://github.com/billy-baek/ansimtalk,,,,,,,,,,,,,source_only,,1,0,,,,,
blottosicei/here-now-er-mcp,의료·복지,0,https://github.com/blottosicei/here-now-er-mcp,,,,,,,,,,,,,source_only,,1,0,,,,,
blueming85/busan-contract-mcp,세금·재정,0,https://github.com/blueming85/busan-contract-mcp,,,,,,,,,,,,,source_only,,1,0,,,,,
bong-u/mcp-server-kakao-map,지도·주소,0,https://github.com/bong-u/mcp-server-kakao-map,,,,,,,,,,,,,packaged,MIT,1,0,,,,,
bootpay/bootpay-mcp,금융·증시,0,https://github.com/bootpay/bootpay-mcp,live,1,0,9,32,29,100,111,89,0,0,0,source_only,,1,0,,,,,
buenosiempre-cmd/kr-univ-rule-mcp,교육·문화,0,https://github.com/buenosiempre-cmd/kr-univ-rule-mcp,,,,,,,,,,,,,source_only,MIT,1,0,,,,,
burlesquer/coupang-mcp,커머스·생활,0,https://github.com/burlesquer/coupang-mcp,,,,,,,,,,,,,source_only,,1,0,,,,,
byungjunjang/litigation-writer,법령·판례,0,https://github.com/byungjunjang/litigation-writer,,,,,,,,,,,,,source_only,,1,0,,,,,
